DRIVER_NAME,location,season_year,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,range_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,range_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,range_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,range_S3,skew_S3,Total_Lap_Num,GROUP,PIT_TIME_sum,cnt_CROSSING_FINISH_LINE_IN_PIT
 MA Qing Hua,Buenos,2016-2017,0.0,TECHEETAH,0.6434357121348991,0.0684797507693635,0.6609756097560976,0.7550135501355014,0.3723577235772358,0.38265582655826563,-3.401030812628542,0.02025098102564282,0.011195664464527199,0.01814641722259268,0.07155156541706137,0.0,0.07155156541706137,3.633619274471633,0.16637485400073307,0.03136264465513886,0.1673547497808617,0.24344759750818004,0.0,0.24344759750818004,-4.056664878463295,0.019507630411280688,0.0014002919135275218,0.0190591475657177,0.026749405066722895,0.018742526498596652,0.008006878568126242,4.2847156879555754,36,0.0,0.04420163251336218,1
 MA Qing Hua,HongKong,2016-2017,2.0,TECHEETAH,0.1040650406504065,0.0,0.1040650406504065,0.1040650406504065,0.1040650406504065,0.0,0.0,0.024040997814454745,0.0,0.024040997814454745,0.024040997814454745,0.024040997814454745,0.0,0.0,0.46725638846696865,0.0,0.46725638846696865,0.46725638846696865,0.46725638846696865,0.0,0.0,0.16673455301749374,0.0,0.16673455301749374,0.16673455301749374,0.16673455301749374,0.0,0.0,1,2.0,0.0,1
 MA Qing Hua,Marrakesh,2016-2017,0.0,TECHEETAH,0.6611973392461198,0.04381984008505998,0.6720867208672087,0.678590785907859,0.4341463414634146,0.24444444444444446,-4.741611532409695,0.03049174291271842,0.007837435635414253,0.02895585122265564,0.07377336153268635,0.028719266664186345,0.045054094868500004,5.599985086686892,0.25314686250523893,0.006555010715330968,0.2509685578357834,0.2806174681663979,0.24732182885131382,0.03329563931508406,2.893737312081464,0.012065553648017228,0.00040774033298436656,0.011988380301520173,0.014142844232912613,0.01172447484123107,0.002418369391681543,4.462909495167918,33,0.0,0.03523647299640359,1
 MA Qing Hua,Newyork2,2017-2018,0.0,NIO Formula E Team,0.7842466363717369,0.12441785427125264,0.8352490421455939,0.8490421455938697,0.3938697318007663,0.4551724137931034,-2.502651316152559,0.04183616651359073,0.012217038020729435,0.03922084794865358,0.07583773771804247,0.0,0.07583773771804247,0.8966365575107416,0.24390494612804045,0.0803284230214834,0.22832739947483016,0.5039107398166578,0.0,0.5039107398166578,1.8333491339063066,0.017312753913624922,0.006111504979324839,0.01510702868294371,0.040006970131402815,0.014829198270383826,0.025177771861018987,2.8861371449171247,43,0.0,0.02530521211270219,1
 MA Qing Hua,Paris,2017-2018,0.0,NIO Formula E Team,0.7807287845438982,0.10467897552906158,0.8130268199233716,0.8237547892720306,0.21302681992337166,0.6107279693486589,-4.546103456074796,0.027872974143027012,0.020441413683057783,0.024515743837819133,0.1648336736978513,0.024181937838809696,0.1406517358590416,6.82522951285628,0.24282693035306316,0.024648558827818356,0.23531720445179558,0.39886742732191416,0.23156999616868978,0.16729743115322437,5.758739189060087,0.01448014723974798,0.005589011511140402,0.0133090516051713,0.05089536333942407,0.01307082421194561,0.03782453912747846,6.31839655038355,47,0.0,0.03512916822333829,1
,Bejing,2014-2015,1.0,Dragon Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0
,Bejing,2014-2015,1.0,Mahindra Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0
,Bejing,2014-2015,1.0,Trulli Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0
,Bejing,2014-2015,1.0,VENTURI Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0
,Bejing,2014-2015,2.0,Amlin Aguri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0
,Bejing,2014-2015,2.0,Andretti Autosport Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0
,Bejing,2014-2015,2.0,China Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0
,Bejing,2014-2015,2.0,Dragon Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0
,Bejing,2014-2015,2.0,Virgin Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0
,Bejing,2014-2015,3.0,Amlin Aguri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0
,Bejing,2014-2015,3.0,Audi Sport ABT Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,0.0,0
,Bejing,2014-2015,3.0,Team e.dams Renault,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,0.0,0
,Bejing,2014-2015,4.0,Andretti Autosport Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,0
,Bejing,2014-2015,4.0,China Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,0
,Bejing,2014-2015,4.0,Mahindra Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,0
,Bejing,2014-2015,4.0,VENTURI Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,0
,Bejing,2014-2015,4.0,Virgin Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,0
,Berlin,2014-2015,1.0,Amlin Aguri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0
,Berlin,2014-2015,1.0,Mahindra Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0
,Berlin,2014-2015,1.0,NEXTEV TCR Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0
,Berlin,2014-2015,1.0,Trulli Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0
,Berlin,2014-2015,2.0,Amlin Aguri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0
,Berlin,2014-2015,2.0,Andretti Autosport Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,0.0,0
,Berlin,2014-2015,2.0,Venturi Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0
,Berlin,2014-2015,2.0,Virgin Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0
,Berlin,2014-2015,3.0,Audi Sport ABT Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0
,Berlin,2014-2015,3.0,Dragon Racing Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0
,Berlin,2014-2015,3.0,NEXTEV TCR Formula E Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0
,Berlin,2014-2015,3.0,Team e.dams Renault,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0
